t,i,v
3.96,-2.28973058683802,-7
3.97,-2.29016661430297,-7
3.98,-2.29059828149328,-7
3.99,-2.29102563201168,-7
4,-2.29144870902489,-7
4.01,-2.29186755526798,-7
4.02,-2.29228221304863,-7
4.03,-2.29269272425148,-7
4.04,-2.2930991303423,-7
4.05,-2.29350147237221,-7
4.06,-2.29389979098182,-7
4.07,-2.29429412640534,-7
4.08,-2.29468451847462,-7
4.09,-2.2950710066232,-7
4.1,-2.2954536298903,-7
4.11,-2.29583242692473,-7
4.12,-2.29620743598882,-7
4.13,-2.29657869496227,-7
4.14,-2.29694624134598,-7
4.15,-2.29731011226585,-7
4.16,-2.29767034447652,-7
4.17,-2.29802697436509,-7
4.18,-2.29838003795477,-7
4.19,-2.29872957090856,-7
4.2,-2.29907560853281,-7
4.21,-2.29941818578081,-7
4.22,-2.29975733725634,-7
4.23,-2.30009309721711,-7
4.24,-2.30042549957827,-7
4.25,-2.30075457791582,-7
4.26,-2.30108036547,-7
4.27,-2.30140289514863,-7
4.28,-2.30172219953048,-7
4.29,-2.30203831086851,-7
4.3,-2.30235126109315,-7
4.31,-2.30266108181556,-7
4.32,-2.30296780433073,-7
4.33,-2.30327145962076,-7
4.34,-2.30357207835789,-7
4.35,-2.30386969090764,-7
4.36,-2.3041643273319,-7
4.37,-2.30445601739191,-7
4.38,-2.30474479055133,-7
4.39,-2.30503067597915,-7
4.4,-2.30531370255269,-7
4.41,-2.30559389886049,-7
4.42,-2.30587129320522,-7
4.43,-2.3061459136065,-7
4.44,-2.30641778780377,-7
4.45,-2.30668694325907,-7
4.46,-2.30695340715981,-7
4.47,-2.30721720642155,-7
4.48,-2.30747836769066,-7
4.49,-2.30773691734709,-7
4.5,-2.30799288150695,-7
4.51,-2.30824628602522,-7
4.52,-2.3084971564983,-7
4.53,-2.30874551826665,-7
4.54,-2.30899139641731,-7
4.55,-2.30923481578647,-7
4.56,-2.30947580096194,-7
4.57,-2.30971437628566,-7
4.58,-2.30995056585613,-7
4.59,-2.31018439353091,-7
4.6,-2.31041588292893,-7
4.61,-2.31064505743297,-7
4.62,-2.31087194019198,-7
4.63,-2.31109655412339,-7
4.64,-2.31131892191549,-7
4.65,-2.31153906602967,-7
4.66,-2.31175700870271,-7
4.67,-2.31197277194901,-7
4.68,-2.31218637756286,-7
4.69,-2.31239784712056,-7
4.7,-2.31260720198269,-7
4.71,-2.31281446329619,-7
4.72,-2.31301965199657,-7
4.73,-2.31322278880993,-7
4.74,-2.31342389425517,-7
4.75,-2.31362298864595,-7
4.76,-2.31382009209282,-7
4.77,-2.31401522450523,-7
4.78,-2.31420840559351,-7
4.79,-2.31439965487091,-7
4.8,-2.31458899165553,-7
4.81,-2.31477643507231,-7
4.82,-2.31496200405492,-7
4.83,-2.3151457173477,-7
4.84,-2.31532759350756,-7
4.85,-2.31550765090582,-7
4.86,-2.31568590773009,-7
4.87,-2.31586238198613,-7
4.88,-2.3160370914996,-7
4.89,-2.31621005391793,-7
4.9,-2.31638128671209,-7
4.91,-2.3165508071783,-7
4.92,-2.31671863243985,-7
4.93,-2.31688477944879,-7
4.94,-2.31704926498763,-7
4.95,-2.31721210567109,-7
4.96,-2.31737331794771,-7
4.97,-2.31753291810157,-7
4.98,-2.31769092225389,-7
4.99,-2.31784734636468,-7
5,-2.31800220623437,-7
5.01,-2.31815551750536,-7
5.02,-2.31830729566364,-7
5.03,-2.31845755604033,-7
5.04,-2.31860631381326,-7
5.05,-2.31875358400846,-7
5.06,-2.31889938150171,-7
5.07,-2.31904372102003,-7
5.08,-2.31918661714316,-7
5.09,-2.31932808430506,-7
5.1,-2.31946813679535,-7
5.11,-2.31960678876073,-7
5.12,-2.31974405420645,-7
5.13,-2.31987994699772,-7
5.14,-2.32001448086108,-7
5.15,-2.3201476693858,-7
5.16,-2.32027952602527,-7
5.17,-2.32041006409835,-7
5.18,-2.3205392967907,-7
5.19,-2.32066723715613,-7
5.2,-2.3207938981179,-7
5.21,-2.32091929247006,-7
5.22,-2.32104343287869,-7
5.23,-2.32116633188324,-7
5.24,-2.32128800189774,-7
5.25,-2.32140845521209,-7
5.26,-2.32152770399331,-7
5.27,-2.32164576028671,-7
5.28,-2.32176263601717,-7
5.29,-2.32187834299033,-7
5.3,-2.32199289289376,-7
5.31,-2.32210629729816,-7
5.32,-2.32221856765851,-7
5.33,-2.32232971531526,-7
5.34,-2.32243975149544,-7
5.35,-2.32254868731382,-7
5.36,-2.32265653377401,-7
5.37,-2.32276330176961,-7
5.38,-2.32286900208524,-7
5.39,-2.32297364539772,-7
5.4,-2.32307724227708,-7
5.41,-2.32317980318764,-7
5.42,-2.3232813384891,-7
5.43,-2.32338185843754,-7
5.44,-2.3234813731865,-7
5.45,-2.32357989278797,-7
5.46,-2.32367742719342,-7
5.47,-2.32377398625482,-7
5.48,-2.32386957972561,-7
